City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Chokurdakh,70.6333,147.9167,39.0,71,18,7.65,RU,1627850165
Krasnyy Yar,46.5331,48.3456,76.93,55,17,5.12,RU,1627850166
Inuvik,68.3499,-133.7218,85.06,29,40,10.36,CA,1627850166
Vaini,-21.2,-175.2,71.76,83,20,21.85,TO,1627849936
Rome,43.2128,-75.4557,66.06,93,75,0.0,US,1627850043
Puerto Ayora,-0.7393,-90.3518,76.96,87,48,8.99,EC,1627849974
Punta Arenas,-53.15,-70.9167,46.51,66,40,11.5,CL,1627850167
Musoma,-1.5,33.8,73.42,68,75,0.0,TZ,1627850168
George Town,5.4112,100.3354,76.95,92,20,5.01,MY,1627849953
Tasiilaq,65.6145,-37.6368,57.36,76,18,5.7,GL,1627849964
Dikson,73.5069,80.5464,39.58,99,98,7.49,RU,1627849988
Shablykino,52.8566,35.1964,70.83,64,38,6.35,RU,1627850169
Gigmoto,13.7796,124.39,81.19,80,100,8.21,PH,1627850169
Mwene-Ditu,-7.0,23.45,72.41,31,100,3.27,CD,1627850169
Hasaki,35.7333,140.8333,77.4,88,12,5.82,JP,1627850170
Rikitea,-23.1203,-134.9692,69.28,59,68,22.73,PF,1627850170
Port Blair,11.6667,92.75,81.57,82,100,18.7,IN,1627850146
Ossora,59.2353,163.0719,54.07,71,100,6.6,RU,1627850171
Airai,-8.9266,125.4092,56.08,86,25,2.59,TL,1627850171
College,64.8569,-147.8028,73.72,57,75,0.0,US,1627849967
Hobart,-42.8794,147.3294,38.05,88,20,3.0,AU,1627850172
North Bend,43.4065,-124.2243,69.17,88,1,23.02,US,1627850093
Souillac,-20.5167,57.5167,69.37,88,75,10.36,MU,1627850173
Mar del Plata,-38.0023,-57.5575,50.09,30,90,1.99,AR,1627850173
Banda Aceh,5.5577,95.3222,79.86,73,99,16.13,ID,1627850173
Ishigaki,24.3448,124.1572,82.45,81,100,11.21,JP,1627850174
Gorontalo,0.5412,123.0595,74.19,95,67,2.21,ID,1627849885
Milford,41.2223,-73.0565,77.54,65,90,5.01,US,1627850159
Busselton,-33.65,115.3333,53.04,68,90,7.27,AU,1627850175
Bonavista,48.6499,-53.1147,71.6,68,100,19.01,CA,1627850175
Port Alfred,-33.5906,26.891,61.02,83,26,25.99,ZA,1627850177
Richards Bay,-28.783,32.0377,63.3,65,3,3.69,ZA,1627850183
Atuona,-9.8,-139.0333,77.14,69,32,11.86,PF,1627850184
Ponta do Sol,32.6667,-17.1,72.23,65,1,5.55,PT,1627850025
New Norfolk,-42.7826,147.0587,37.71,83,20,2.39,AU,1627850184
Kintinku,-5.8833,35.2333,69.37,55,17,0.96,TZ,1627850185
Tuatapere,-46.1333,167.6833,40.82,91,100,4.21,NZ,1627850185
Castro,-24.7911,-50.0119,50.13,82,69,2.8,BR,1627849970
Arman',59.7,150.1667,52.14,55,0,16.26,RU,1627850187
Selizharovo,56.8519,33.4487,60.78,67,92,4.65,RU,1627850187
Bredasdorp,-34.5322,20.0403,58.32,67,79,6.91,ZA,1627850187
Cape Town,-33.9258,18.4232,58.12,80,40,1.01,ZA,1627850188
Menomonie,44.8755,-91.9193,77.45,34,22,8.97,US,1627850189
Umm Kaddadah,13.6017,26.6876,83.43,56,14,21.65,SD,1627850189
Kumul,42.8,93.45,68.49,46,81,4.97,CN,1627850014
Bahía Honda,22.9036,-83.1592,86.74,66,43,8.01,CU,1627850190
Ust'-Omchug,61.15,149.6333,42.62,72,49,14.99,RU,1627850020
Lebu,-37.6167,-73.65,52.11,73,29,18.32,CL,1627850190
Barrow,71.2906,-156.7887,50.02,82,90,20.71,US,1627850191
Nelson Bay,-32.7167,152.15,54.0,61,99,7.7,AU,1627850191
Mandalgovi,45.7625,106.2708,64.2,48,100,13.51,MN,1627850192
Comodoro Rivadavia,-45.8667,-67.5,64.26,22,0,11.5,AR,1627850192
Bethanien,-26.502,17.1583,57.67,23,0,4.7,NA,1627850193
San Cristobal,7.7669,-72.225,84.38,80,68,7.29,VE,1627850195
Ushuaia,-54.8,-68.3,46.06,49,20,17.27,AR,1627850052
Albany,42.6001,-73.9662,75.29,77,82,6.89,US,1627850414
Broken Hill,-31.95,141.4333,46.11,87,0,11.5,AU,1627850196
Vestnes,62.6264,7.0884,53.78,76,90,10.36,NO,1627850196
Longyearbyen,78.2186,15.6401,46.24,66,75,17.27,SJ,1627850035
